"Private" "Apps" "Accept" "Enroll" "Expend" "Grad.Rate" "Top25perc" "lat" "lng" "Name" "mappop"
"Abilene Christian University" "Private" 1660 1232 721 7041 60 52 32.471081 -99.707941 "Abilene Christian University" "<b>Abilene Christian University</b><br><b>Private</b><br><b>Applications: </b>1660<br><b>Applicatants accepted: </b>1232<br><b>Enrollments: </b>721"
"Adelphi University" "Private" 2186 1924 512 10527 56 29 40.7220719 -73.6506244 "Adelphi University" "<b>Adelphi University</b><br><b>Private</b><br><b>Applications: </b>2186<br><b>Applicatants accepted: </b>1924<br><b>Enrollments: </b>512"
"Adrian College" "Private" 1428 1097 336 8735 54 50 41.8985832 -84.0591739 "Adrian College" "<b>Adrian College</b><br><b>Private</b><br><b>Applications: </b>1428<br><b>Applicatants accepted: </b>1097<br><b>Enrollments: </b>336"
"Agnes Scott College" "Private" 417 349 137 19016 59 89 33.7674176 -84.2943655 "Agnes Scott College" "<b>Agnes Scott College</b><br><b>Private</b><br><b>Applications: </b>417<br><b>Applicatants accepted: </b>349<br><b>Enrollments: </b>137"
"Alaska Pacific University" "Private" 193 146 55 10922 15 44 61.1910518 -149.8027203 "Alaska Pacific University" "<b>Alaska Pacific University</b><br><b>Private</b><br><b>Applications: </b>193<br><b>Applicatants accepted: </b>146<br><b>Enrollments: </b>55"
"Albertson College" "Private" 587 479 158 9727 55 62 43.6535967 -116.6768734 "Albertson College" "<b>Albertson College</b><br><b>Private</b><br><b>Applications: </b>587<br><b>Applicatants accepted: </b>479<br><b>Enrollments: </b>158"
"Albertus Magnus College" "Private" 353 340 103 8861 63 45 41.3332978 -72.9231712 "Albertus Magnus College" "<b>Albertus Magnus College</b><br><b>Private</b><br><b>Applications: </b>353<br><b>Applicatants accepted: </b>340<br><b>Enrollments: </b>103"
"Albion College" "Private" 1899 1720 489 11487 73 68 42.243925 -84.7444555 "Albion College" "<b>Albion College</b><br><b>Private</b><br><b>Applications: </b>1899<br><b>Applicatants accepted: </b>1720<br><b>Enrollments: </b>489"
"Albright College" "Private" 1038 839 227 11644 80 63 40.3615394 -75.9105055 "Albright College" "<b>Albright College</b><br><b>Private</b><br><b>Applications: </b>1038<br><b>Applicatants accepted: </b>839<br><b>Enrollments: </b>227"
"Alderson-Broaddus College" "Private" 582 498 172 8991 52 44 39.1572829 -80.0492902 "Alderson-Broaddus College" "<b>Alderson-Broaddus College</b><br><b>Private</b><br><b>Applications: </b>582<br><b>Applicatants accepted: </b>498<br><b>Enrollments: </b>172"
"Alfred University" "Private" 1732 1425 472 10932 73 75 42.253424 -77.787959 "Alfred University" "<b>Alfred University</b><br><b>Private</b><br><b>Applications: </b>1732<br><b>Applicatants accepted: </b>1425<br><b>Enrollments: </b>472"
"Allegheny College" "Private" 2652 1900 484 11711 76 77 41.649349 -80.1449494 "Allegheny College" "<b>Allegheny College</b><br><b>Private</b><br><b>Applications: </b>2652<br><b>Applicatants accepted: </b>1900<br><b>Enrollments: </b>484"
"Allentown Coll. of St. Francis de Sales" "Private" 1179 780 290 7940 74 64 40.5372873 -75.3787597 "Allentown Coll. of St. Francis de Sales" "<b>Allentown Coll. of St. Francis de Sales</b><br><b>Private</b><br><b>Applications: </b>1179<br><b>Applicatants accepted: </b>780<br><b>Enrollments: </b>290"
"Alma College" "Private" 1267 1080 385 9305 68 73 43.379011 -84.6699398 "Alma College" "<b>Alma College</b><br><b>Private</b><br><b>Applications: </b>1267<br><b>Applicatants accepted: </b>1080<br><b>Enrollments: </b>385"
"Alverno College" "Private" 494 313 157 8127 55 46 42.982906 -87.9645037 "Alverno College" "<b>Alverno College</b><br><b>Private</b><br><b>Applications: </b>494<br><b>Applicatants accepted: </b>313<br><b>Enrollments: </b>157"
"American International College" "Private" 1420 1093 220 7355 69 22 42.112853 -72.557144 "American International College" "<b>American International College</b><br><b>Private</b><br><b>Applications: </b>1420<br><b>Applicatants accepted: </b>1093<br><b>Enrollments: </b>220"
"Amherst College" "Private" 4302 992 418 21424 100 96 42.3709104 -72.5170028 "Amherst College" "<b>Amherst College</b><br><b>Private</b><br><b>Applications: </b>4302<br><b>Applicatants accepted: </b>992<br><b>Enrollments: </b>418"
"Anderson University" "Private" 1216 908 423 7994 59 40 40.1114829 -85.6651536 "Anderson University" "<b>Anderson University</b><br><b>Private</b><br><b>Applications: </b>1216<br><b>Applicatants accepted: </b>908<br><b>Enrollments: </b>423"
"Andrews University" "Private" 1130 704 322 10908 46 23 41.9642053 -86.3593038 "Andrews University" "<b>Andrews University</b><br><b>Private</b><br><b>Applications: </b>1130<br><b>Applicatants accepted: </b>704<br><b>Enrollments: </b>322"
"Angelo State University" "Public" 3540 2001 1016 4010 34 54 31.4342108 -100.4554224 "Angelo State University" "<b>Angelo State University</b><br><b>Public</b><br><b>Applications: </b>3540<br><b>Applicatants accepted: </b>2001<br><b>Enrollments: </b>1016"
"Antioch University" "Private" 713 661 252 42926 48 44 33.9885587 -118.3847952 "Antioch University" "<b>Antioch University</b><br><b>Private</b><br><b>Applications: </b>713<br><b>Applicatants accepted: </b>661<br><b>Enrollments: </b>252"
"Appalachian State University" "Public" 7313 4664 1910 5854 70 63 36.2107892 -81.6773538 "Appalachian State University" "<b>Appalachian State University</b><br><b>Public</b><br><b>Applications: </b>7313<br><b>Applicatants accepted: </b>4664<br><b>Enrollments: </b>1910"
"Aquinas College" "Private" 619 516 219 6584 65 51 42.9601469 -85.6287556 "Aquinas College" "<b>Aquinas College</b><br><b>Private</b><br><b>Applications: </b>619<br><b>Applicatants accepted: </b>516<br><b>Enrollments: </b>219"
"Arizona State University Main campus" "Public" 12809 10308 3761 4602 48 49 33.4242399 -111.9280527 "Arizona State University Main campus" "<b>Arizona State University Main campus</b><br><b>Public</b><br><b>Applications: </b>12809<br><b>Applicatants accepted: </b>10308<br><b>Enrollments: </b>3761"
"Arkansas College (Lyon College)" "Private" 708 334 166 14579 54 74 35.7788314 -91.6261607 "Arkansas College (Lyon College)" "<b>Arkansas College (Lyon College)</b><br><b>Private</b><br><b>Applications: </b>708<br><b>Applicatants accepted: </b>334<br><b>Enrollments: </b>166"
"Arkansas Tech University" "Public" 1734 1729 951 4739 48 52 35.2950751 -93.1386571 "Arkansas Tech University" "<b>Arkansas Tech University</b><br><b>Public</b><br><b>Applications: </b>1734<br><b>Applicatants accepted: </b>1729<br><b>Enrollments: </b>951"
"Assumption College" "Private" 2135 1700 491 7100 88 59 42.2907398 -71.829026 "Assumption College" "<b>Assumption College</b><br><b>Private</b><br><b>Applications: </b>2135<br><b>Applicatants accepted: </b>1700<br><b>Enrollments: </b>491"
"Auburn University-Main Campus" "Public" 7548 6791 3070 6642 69 57 32.5933574 -85.4951663 "Auburn University-Main Campus" "<b>Auburn University-Main Campus</b><br><b>Public</b><br><b>Applications: </b>7548<br><b>Applicatants accepted: </b>6791<br><b>Enrollments: </b>3070"
"Augsburg College" "Private" 662 513 257 7836 58 30 44.9663695 -93.241518 "Augsburg College" "<b>Augsburg College</b><br><b>Private</b><br><b>Applications: </b>662<br><b>Applicatants accepted: </b>513<br><b>Enrollments: </b>257"
"Augustana College IL" "Private" 1879 1658 497 9220 71 69 41.5051053 -90.5507098 "Augustana College IL" "<b>Augustana College IL</b><br><b>Private</b><br><b>Applications: </b>1879<br><b>Applicatants accepted: </b>1658<br><b>Enrollments: </b>497"
"Augustana College" "Private" 761 725 306 6871 69 58 41.5051053 -90.5507098 "Augustana College" "<b>Augustana College</b><br><b>Private</b><br><b>Applications: </b>761<br><b>Applicatants accepted: </b>725<br><b>Enrollments: </b>306"
"Austin College" "Private" 948 798 295 11361 71 74 33.64626 -96.594854 "Austin College" "<b>Austin College</b><br><b>Private</b><br><b>Applications: </b>948<br><b>Applicatants accepted: </b>798<br><b>Enrollments: </b>295"
"Averett College" "Private" 627 556 172 6523 48 40 36.5783583 -79.4114136 "Averett College" "<b>Averett College</b><br><b>Private</b><br><b>Applications: </b>627<br><b>Applicatants accepted: </b>556<br><b>Enrollments: </b>172"
"Baker University" "Private" 602 483 206 6136 65 47 38.777439 -95.188819 "Baker University" "<b>Baker University</b><br><b>Private</b><br><b>Applications: </b>602<br><b>Applicatants accepted: </b>483<br><b>Enrollments: </b>206"
"Baldwin-Wallace College" "Private" 1690 1366 662 8086 85 61 41.3735087 -81.848391 "Baldwin-Wallace College" "<b>Baldwin-Wallace College</b><br><b>Private</b><br><b>Applications: </b>1690<br><b>Applicatants accepted: </b>1366<br><b>Enrollments: </b>662"
"Barat College" "Private" 261 192 111 9337 71 36 42.2506217 -87.8373853 "Barat College" "<b>Barat College</b><br><b>Private</b><br><b>Applications: </b>261<br><b>Applicatants accepted: </b>192<br><b>Enrollments: </b>111"
"Bard College" "Private" 1910 838 285 13894 79 85 42.0204065 -73.9100986 "Bard College" "<b>Bard College</b><br><b>Private</b><br><b>Applications: </b>1910<br><b>Applicatants accepted: </b>838<br><b>Enrollments: </b>285"
"Barnard College" "Private" 2496 1402 531 12580 91 95 40.8091005 -73.9639386 "Barnard College" "<b>Barnard College</b><br><b>Private</b><br><b>Applications: </b>2496<br><b>Applicatants accepted: </b>1402<br><b>Enrollments: </b>531"
"Barry University" "Private" 990 784 279 9084 72 45 25.879072 -80.196161 "Barry University" "<b>Barry University</b><br><b>Private</b><br><b>Applications: </b>990<br><b>Applicatants accepted: </b>784<br><b>Enrollments: </b>279"
"Baylor University" "Private" 6075 5349 2367 7503 72 66 31.5506704 -97.1082062 "Baylor University" "<b>Baylor University</b><br><b>Private</b><br><b>Applications: </b>6075<br><b>Applicatants accepted: </b>5349<br><b>Enrollments: </b>2367"
"Beaver College" "Private" 1163 850 348 8954 73 56 40.0918713 -75.1654825 "Beaver College" "<b>Beaver College</b><br><b>Private</b><br><b>Applications: </b>1163<br><b>Applicatants accepted: </b>850<br><b>Enrollments: </b>348"
"Bellarmine College" "Private" 807 707 308 6668 84 63 38.219141 -85.70486 "Bellarmine College" "<b>Bellarmine College</b><br><b>Private</b><br><b>Applications: </b>807<br><b>Applicatants accepted: </b>707<br><b>Enrollments: </b>308"
"Belmont Abbey College" "Private" 632 494 129 7550 52 36 35.2595756 -81.0409625 "Belmont Abbey College" "<b>Belmont Abbey College</b><br><b>Private</b><br><b>Applications: </b>632<br><b>Applicatants accepted: </b>494<br><b>Enrollments: </b>129"
"Belmont University" "Private" 1220 974 481 7614 49 67 36.130441 -86.795017 "Belmont University" "<b>Belmont University</b><br><b>Private</b><br><b>Applications: </b>1220<br><b>Applicatants accepted: </b>974<br><b>Enrollments: </b>481"
"Beloit College" "Private" 1320 923 284 12957 69 54 42.5030334 -89.030906 "Beloit College" "<b>Beloit College</b><br><b>Private</b><br><b>Applications: </b>1320<br><b>Applicatants accepted: </b>923<br><b>Enrollments: </b>284"
"Bemidji State University" "Public" 1208 877 546 3752 46 36 47.486735 -94.875788 "Bemidji State University" "<b>Bemidji State University</b><br><b>Public</b><br><b>Applications: </b>1208<br><b>Applicatants accepted: </b>877<br><b>Enrollments: </b>546"
"Benedictine College" "Private" 632 620 222 5922 58 24 39.5714509 -95.1122424 "Benedictine College" "<b>Benedictine College</b><br><b>Private</b><br><b>Applications: </b>632<br><b>Applicatants accepted: </b>620<br><b>Enrollments: </b>222"
"Bennington College" "Private" 519 327 114 16364 55 53 42.92389 -73.241558 "Bennington College" "<b>Bennington College</b><br><b>Private</b><br><b>Applications: </b>519<br><b>Applicatants accepted: </b>327<br><b>Enrollments: </b>114"
"Bentley College" "Private" 3466 2330 640 10941 82 60 42.3856989 -71.22168 "Bentley College" "<b>Bentley College</b><br><b>Private</b><br><b>Applications: </b>3466<br><b>Applicatants accepted: </b>2330<br><b>Enrollments: </b>640"
"Berry College" "Private" 1858 1221 480 10511 63 68 34.2954044 -85.188497 "Berry College" "<b>Berry College</b><br><b>Private</b><br><b>Applications: </b>1858<br><b>Applicatants accepted: </b>1221<br><b>Enrollments: </b>480"
"Bethany College" "Private" 878 816 200 7718 48 41 40.2059842 -80.5598259 "Bethany College" "<b>Bethany College</b><br><b>Private</b><br><b>Applications: </b>878<br><b>Applicatants accepted: </b>816<br><b>Enrollments: </b>200"
"Bethel College KS" "Private" 202 184 122 8324 56 42 38.0747608 -97.3425835 "Bethel College KS" "<b>Bethel College KS</b><br><b>Private</b><br><b>Applications: </b>202<br><b>Applicatants accepted: </b>184<br><b>Enrollments: </b>122"
"Bethel College" "Private" 502 384 104 7623 35 28 38.0747608 -97.3425835 "Bethel College" "<b>Bethel College</b><br><b>Private</b><br><b>Applications: </b>502<br><b>Applicatants accepted: </b>384<br><b>Enrollments: </b>104"
"Bethune Cookman College" "Private" 1646 1150 542 6817 58 30 29.2102556 -81.0306086 "Bethune Cookman College" "<b>Bethune Cookman College</b><br><b>Private</b><br><b>Applications: </b>1646<br><b>Applicatants accepted: </b>1150<br><b>Enrollments: </b>542"
"Birmingham-Southern College" "Private" 805 588 287 8649 72 88 33.51392 -86.854721 "Birmingham-Southern College" "<b>Birmingham-Southern College</b><br><b>Private</b><br><b>Applications: </b>805<br><b>Applicatants accepted: </b>588<br><b>Enrollments: </b>287"
"Blackburn College" "Private" 500 336 156 8377 51 55 39.2886265 -89.8733533 "Blackburn College" "<b>Blackburn College</b><br><b>Private</b><br><b>Applications: </b>500<br><b>Applicatants accepted: </b>336<br><b>Enrollments: </b>156"
"Bloomsburg Univ. of Pennsylvania" "Public" 6773 3028 1025 7041 75 55 41.0077751 -76.4478707 "Bloomsburg Univ. of Pennsylvania" "<b>Bloomsburg Univ. of Pennsylvania</b><br><b>Public</b><br><b>Applications: </b>6773<br><b>Applicatants accepted: </b>3028<br><b>Enrollments: </b>1025"
"Bluefield College" "Private" 377 358 181 6259 53 30 37.2448933 -81.2470647 "Bluefield College" "<b>Bluefield College</b><br><b>Private</b><br><b>Applications: </b>377<br><b>Applicatants accepted: </b>358<br><b>Enrollments: </b>181"
"Bluffton College" "Private" 692 514 209 9073 58 50 40.8965316 -83.8989438 "Bluffton College" "<b>Bluffton College</b><br><b>Private</b><br><b>Applications: </b>692<br><b>Applicatants accepted: </b>514<br><b>Enrollments: </b>209"
"Boston University" "Private" 20192 13007 3810 16836 72 80 42.3504997 -71.1053991 "Boston University" "<b>Boston University</b><br><b>Private</b><br><b>Applications: </b>20192<br><b>Applicatants accepted: </b>13007<br><b>Enrollments: </b>3810"
"Bowdoin College" "Private" 3356 1019 418 20447 96 100 43.9067324 -69.9637933 "Bowdoin College" "<b>Bowdoin College</b><br><b>Private</b><br><b>Applications: </b>3356<br><b>Applicatants accepted: </b>1019<br><b>Enrollments: </b>418"
"Bowling Green State University" "Public" 9251 7333 3076 6918 67 45 41.3797788 -83.6300826 "Bowling Green State University" "<b>Bowling Green State University</b><br><b>Public</b><br><b>Applications: </b>9251<br><b>Applicatants accepted: </b>7333<br><b>Enrollments: </b>3076"
"Bradford College" "Private" 443 330 151 15387 46 36 40.0235827 -82.9119215 "Bradford College" "<b>Bradford College</b><br><b>Private</b><br><b>Applications: </b>443<br><b>Applicatants accepted: </b>330<br><b>Enrollments: </b>151"
"Bradley University" "Private" 3767 3414 1061 7671 85 58 40.6981432 -89.6160181 "Bradley University" "<b>Bradley University</b><br><b>Private</b><br><b>Applications: </b>3767<br><b>Applicatants accepted: </b>3414<br><b>Enrollments: </b>1061"
"Brandeis University" "Private" 4186 2743 740 17150 84 77 42.3689744 -71.2559568 "Brandeis University" "<b>Brandeis University</b><br><b>Private</b><br><b>Applications: </b>4186<br><b>Applicatants accepted: </b>2743<br><b>Enrollments: </b>740"
"Brenau University" "Private" 367 274 158 5935 49 41 34.302811 -83.822032 "Brenau University" "<b>Brenau University</b><br><b>Private</b><br><b>Applications: </b>367<br><b>Applicatants accepted: </b>274<br><b>Enrollments: </b>158"
"Brewton-Parker College" "Private" 1436 1228 1202 4900 18 26 32.184874 -82.583713 "Brewton-Parker College" "<b>Brewton-Parker College</b><br><b>Private</b><br><b>Applications: </b>1436<br><b>Applicatants accepted: </b>1228<br><b>Enrollments: </b>1202"
"Briar Cliff College" "Private" 392 351 155 8355 58 44 42.5270102 -96.4270388 "Briar Cliff College" "<b>Briar Cliff College</b><br><b>Private</b><br><b>Applications: </b>392<br><b>Applicatants accepted: </b>351<br><b>Enrollments: </b>155"
"Bridgewater College" "Private" 838 673 292 8655 82 53 38.3789235 -78.9670039 "Bridgewater College" "<b>Bridgewater College</b><br><b>Private</b><br><b>Applications: </b>838<br><b>Applicatants accepted: </b>673<br><b>Enrollments: </b>292"
"Brigham Young University at Provo" "Private" 7365 5402 4615 7916 33 82 40.2518435 -111.6493156 "Brigham Young University at Provo" "<b>Brigham Young University at Provo</b><br><b>Private</b><br><b>Applications: </b>7365<br><b>Applicatants accepted: </b>5402<br><b>Enrollments: </b>4615"
"Brown University" "Private" 12586 3239 1462 20440 97 95 41.8267718 -71.4025482 "Brown University" "<b>Brown University</b><br><b>Private</b><br><b>Applications: </b>12586<br><b>Applicatants accepted: </b>3239<br><b>Enrollments: </b>1462"
"Bryn Mawr College" "Private" 1465 810 313 17449 89 95 40.0266576 -75.3143902 "Bryn Mawr College" "<b>Bryn Mawr College</b><br><b>Private</b><br><b>Applications: </b>1465<br><b>Applicatants accepted: </b>810<br><b>Enrollments: </b>313"
